N,P_tail_p=0.01,P_tail_p=0.05,P_tail_p=0.1,P_tail_p=0.2,P_tail_p=0.3
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,4.884981308350689e-15,1.000000082740371e-11,2.048000002918826e-08,1.7714700000226458e-06
12,0.0,5.595524044110789e-14,1.0900003122316093e-10,2.007039999751825e-07,1.5411788999997178e-05
13,0.0,3.467226505904364e-13,6.435999511111845e-10,1.065779200004613e-06,7.270112879997903e-05
14,0.0,1.5440981826486677e-12,2.7285399495369234e-09,4.0647065600030174e-06,0.0002464787928599943
15,0.0,5.525135904349554e-12,9.296101000089152e-09,1.2461703168042959e-05,0.0006722340698069873
16,0.0,1.6871171126808804e-11,2.7028515647842255e-08,3.26144950272278e-05,0.0015663201513956837
17,0.0,4.5614401145144257e-11,6.958631093567647e-08,7.560711766019246e-05,0.003235280837027954
18,0.0,1.1192913262902948e-10,1.6260549207114394e-07,0.00015913564163272387,0.00607251400260278
19,0.0,2.536769683203488e-10,3.5096933381773e-07,0.00030948698478350245,0.010541156238383032
20,0.0,5.379600098720516e-10,7.088606331917546e-07,0.00056341369766022,0.017144816431258425
21,0.0,1.0780979442515104e-09,1.3530649719539767e-06,0.0009696964382629458,0.026389940701283976
22,1.1102230246251565e-16,2.0577116677245044e-09,2.4599251540191602e-06,0.0015902009875471412,0.038744788589408885
23,1.1102230246251565e-16,3.763872324924478e-09,4.2862444545876954e-06,0.0025002743264973537,0.05460017671250261
24,2.220446049250313e-16,6.631534543721784e-09,7.194306725244459e-06,0.003788378129319203,0.0742364650803341
25,4.440892098500626e-16,1.1301727331769484e-08,1.1681031371613138e-05,0.005554920487474857,0.09780001112173187
26,6.661338147750939e-16,1.86961991444079e-08,1.8411118341110644e-05,0.007910310298348988,0.12529081483669602
27,1.1102230246251565e-15,3.0111415139089104e-08,2.8253870533845316e-05,0.01097231705248547,0.15656160406246766
28,1.887379141862766e-15,4.733496161701822e-08,4.2323216315365286e-05,0.014862866810682385,0.19132736384876659
29,2.886579864025407e-15,7.278753577644181e-08,6.202030040958206e-05,0.019704439843105104,0.22918341339384773
30,4.551914400963142e-15,1.0969376840197498e-07,8.907787382306243e-05,0.025616255335326632,0.26962961369727667
31,6.994405055138486e-15,1.6228514976290853e-07,0.00012560559793128867,0.03271043392599249,0.3120981240158768
32,1.0658141036401503e-14,2.3603830134888426e-07,0.0001741352885321623,0.04108832102354065,0.3559822513450971
33,1.5765166949677223e-14,3.37951747142462e-07,0.00023766506531885945,0.05083713510068766,0.40066427189848475
34,2.3203661214665772e-14,4.768642047903171e-07,0.0003197013422999717,0.06202707821532594,0.44554056210645276
35,3.341771304121721e-14,6.638172207473758e-07,0.0004242975954508177,0.0747090137452493,0.4900428832293543
36,4.773959005888173e-14,9.124647318836665e-07,0.0005560888744209347,0.08891278153876347,0.5336551579297995
